skill_match_score,experience_match_score,semantic_similarity_score,domain_match,education_match_score,match_label,num_match_label
0.17,0.62,0.5825,1,0.55,partial match,0.5
0.0,1.0,0.603,0,0.27,no match,0
0.0,1.0,0.4904,0,0.46,partial match,0.5
0.0,1.0,0.4277,0,0.09,no match,0
0.0,1.0,0.5142,0,0.66,partial match,0.5
0.0,0.67,0.5025,0,0.11,no match,0
0.33,1.0,0.6231,1,0.95,match,1
0.0,1.0,0.5239,1,0.17,no match,0
0.5,1.0,0.6785,1,0.75,match,1
0.4,1.0,0.6788,1,0.94,match,1
0.2,1.0,0.6364,1,0.55,partial match,0.5
0.25,1.0,0.6333,0,0.89,match,1
0.36,1.0,0.6337,1,0.77,match,1
0.17,0.89,0.7345,0,0.9,match,1
0.11,1.0,0.6604,1,0.4,partial match,0.5
0.0,1.0,0.5081,0,0.12,no match,0
0.0,1.0,0.4092,0,0.19,no match,0
0.0,1.0,0.4469,0,0.1,no match,0
0.5,1.0,0.6558,1,0.76,match,1
0.67,1.0,0.715,1,0.79,match,1
0.0,1.0,0.5698,0,0.32,no match,0
0.5,1.0,0.6275,0,0.9,match,1
0.25,1.0,0.7188,0,0.43,partial match,0.5
0.0,1.0,0.5316,0,0.36,no match,0
0.0,0.5,0.6524,0,0.6,partial match,0.5
0.5,0.43,0.7113,1,0.97,match,1
0.25,1.0,0.6991,0,0.7,partial match,0.5
0.0,1.0,0.4923,0,0.35,no match,0
0.0,0.78,0.6669,1,0.7,partial match,0.5
0.17,0.5,0.6947,0,0.5,partial match,0.5
0.25,1.0,0.45,0,0.28,no match,0
0.25,1.0,0.696,0,0.71,partial match,0.5
0.0,1.0,0.4642,0,0.29,no match,0
0.0,0.67,0.5531,0,0.18,no match,0
0.6,1.0,0.6315,1,0.85,match,1
0.0,1.0,0.5753,0,0.16,no match,0
0.5,0.5,0.6452,1,0.84,match,1
0.0,0.6,0.4857,0,0.09,no match,0
0.4,1.0,0.6019,0,0.58,partial match,0.5
0.0,1.0,0.4681,0,0.73,partial match,0.5
0.6,0.33,0.6675,1,0.79,match,1
0.5,1.0,0.6314,1,0.82,match,1
1.0,1.0,0.5778,1,0.77,match,1
0.0,1.0,0.5009,0,0.2,no match,0
0.43,0.6,0.6959,1,0.96,match,1
0.0,1.0,0.5586,0,0.07,no match,0
0.17,1.0,0.5345,1,0.38,no match,0
0.29,1.0,0.5888,1,0.16,no match,0
0.0,1.0,0.5627,0,0.29,no match,0
0.0,1.0,0.4829,0,0.14,no match,0
0.67,1.0,0.5937,1,0.56,partial match,0.5
0.0,0.4,0.5115,0,0.35,no match,0
0.33,1.0,0.6073,1,0.92,match,1
0.2,1.0,0.6118,0,0.38,no match,0
0.0,1.0,0.5325,0,0.26,no match,0
0.5,0.6,0.6645,0,0.81,match,1
0.25,1.0,0.6463,0,0.76,match,1
0.0,1.0,0.4124,0,0.18,no match,0
0.0,1.0,0.611,0,0.35,no match,0
0.57,1.0,0.7539,1,0.8,match,1
0.0,1.0,0.563,0,0.43,partial match,0.5
0.14,1.0,0.7378,1,0.97,match,1
0.1,1.0,0.4738,0,0.54,partial match,0.5
0.25,1.0,0.5532,0,0.41,partial match,0.5
0.0,1.0,0.5944,0,0.26,no match,0
0.2,1.0,0.4662,0,0.23,no match,0
0.0,1.0,0.5556,0,0.37,no match,0
0.0,0.78,0.5481,0,0.08,no match,0
0.0,1.0,0.4817,0,0.62,partial match,0.5
0.11,1.0,0.6503,1,0.73,partial match,0.5
0.33,1.0,0.6555,1,0.45,partial match,0.5
0.0,1.0,0.5523,0,0.37,no match,0
0.6,1.0,0.6365,1,0.87,match,1
0.0,1.0,0.5316,0,0.16,no match,0
0.0,1.0,0.6396,0,0.2,no match,0
0.0,1.0,0.4131,0,0.14,no match,0
0.0,1.0,0.4904,0,0.13,no match,0
0.8,1.0,0.6707,1,0.75,match,1
0.33,1.0,0.5722,1,0.82,match,1
0.0,1.0,0.6305,0,0.29,no match,0
0.0,0.43,0.4804,0,0.43,partial match,0.5
1.0,1.0,0.6688,1,0.81,match,1
0.0,1.0,0.638,0,0.71,partial match,0.5
0.33,0.83,0.5789,1,0.17,no match,0
0.4,1.0,0.6464,1,0.95,match,1
0.25,1.0,0.6543,1,0.93,match,1
0.5,1.0,0.6674,0,0.92,match,1
0.17,1.0,0.5782,1,0.31,no match,0
0.0,1.0,0.4862,0,0.12,no match,0
0.0,1.0,0.578,0,0.83,match,1
0.0,1.0,0.5504,0,0.06,no match,0
0.5,1.0,0.6425,1,0.75,match,1
0.25,0.6,0.6825,1,0.85,match,1
0.2,1.0,0.5476,1,0.94,match,1
0.0,1.0,0.4942,0,0.18,no match,0
0.67,1.0,0.6619,1,0.89,match,1
0.0,0.25,0.6844,0,0.72,partial match,0.5
0.0,1.0,0.5638,0,0.26,no match,0
0.0,1.0,0.3937,0,0.39,no match,0
0.29,1.0,0.6001,0,0.89,match,1
0.0,1.0,0.4653,0,0.21,no match,0
0.0,1.0,0.5379,0,0.73,partial match,0.5
0.0,1.0,0.6746,0,0.89,match,1
0.14,1.0,0.4426,0,0.46,partial match,0.5
0.2,1.0,0.4754,0,0.47,partial match,0.5
0.0,1.0,0.6035,0,0.53,partial match,0.5
0.2,1.0,0.6875,0,0.92,match,1
0.0,1.0,0.5678,0,0.15,no match,0
0.4,1.0,0.6415,0,0.79,match,1
0.0,0.67,0.5757,0,0.22,no match,0
0.6,0.33,0.7285,1,0.93,match,1
0.33,1.0,0.6557,1,0.82,match,1
0.0,1.0,0.3759,0,0.35,no match,0
0.4,0.86,0.72,1,0.91,match,1
1.0,1.0,0.7479,1,0.95,match,1
0.22,0.38,0.6563,0,0.98,match,1
0.33,1.0,0.697,0,0.66,partial match,0.5
0.0,0.4,0.5027,0,0.34,no match,0
0.29,1.0,0.6871,0,0.72,partial match,0.5
0.0,1.0,0.5483,0,0.15,no match,0
0.2,0.43,0.6202,1,0.05,no match,0
0.1,1.0,0.526,0,0.45,partial match,0.5
0.4,1.0,0.662,0,0.82,match,1
0.0,1.0,0.5085,0,0.13,no match,0
